date,equity_dm,rf,cash,futures,duration,n_ccy,scv_dm,rec9060,w_equity,w_bond,lev15,acwi,ntsg,equity_dm_exc
2019-07-04,0.0013,0.0001,4.5429537236716724e-05,0.00011336361640073999,7.087753103725915,4.0,0.0036,0.00123153280947208,0.9011361474766142,0.5554750245329106,0.0018486605793910371,0.0,,0.0012
2019-07-05,-0.0042,0.0001,-0.0011788251868385827,-0.005082239003550233,7.088273716528733,4.0,-0.0009,-0.00673171937234851,0.9034330333091594,0.5592396690468189,-0.00611165247086598,-0.004670421964812488,,-0.0043
2019-07-08,-0.0059,0.0001,-5.811393616317939e-05,-0.00021533376506289314,7.060473737627288,4.0,-0.0079,-0.0054783606626009895,0.9030500120751492,0.56232026225132,-0.00865645698797346,-0.00522868352628314,,-0.006
2019-07-09,-0.0009,0.0001,-7.880149225750199e-05,-0.001368219815542791,7.059877037368976,4.0,-0.0056,-0.0015971480404706195,0.9036805787298113,0.563219807663484,-0.0013426931831084232,-0.0005390492932051405,,-0.001
2019-07-10,0.0035999999999999,0.0001,0.0009004155024701964,0.0005447724249983896,7.053013526490777,4.0,0.0034999999999999,0.0036393799673219984,0.9036451208628022,0.5611774696224278,0.00520243514832508,0.0051239046218034545,,0.0034999999999999003
2019-07-11,0.0015,0.0001,0.0002633415939550135,-0.0035854986707199,7.051282218663387,4.0,0.0006,-0.0006386517333033526,0.9055789381025587,0.5615360956232099,0.0021444446236837944,0.001207589072707016,,0.0014
2019-07-12,0.0042,0.0001,0.0001648849174985788,0.0004096498524382067,7.0292314022685485,4.0,0.0055,0.004041606115715135,0.9057217988810952,0.5592757234389879,0.006061910925552194,0.002947515326490402,,0.0040999999999999995
2019-07-15,0.0001,0.0001,0.00018359578323629336,0.0018501979680735634,7.03156560655067,4.0,-0.0045,0.0011204349288580495,0.9047986031024852,0.5586497926982495,4.481721585869458e-05,0.0008019556567593344,,0.0
2019-07-16,-0.0032,0.0001,-0.0010555367525635594,-0.002031651405798254,7.042624029467628,4.0,-0.003,-0.004138192443413846,0.9056510057208011,0.5609711994768976,-0.004669617377581536,-0.0037378111101903366,,-0.0033
2019-07-17,-0.0039999999999999,0.0001,0.0004921010901557215,0.003656158208069433,7.031365837614095,4.0,-0.0044,-0.001532561302640345,0.9034129374060913,0.5618322418293009,-0.0058374622422012745,-0.004421792874459984,,-0.004099999999999901
2019-07-18,0.0013,0.0001,0.000380812735081607,0.0017497842543826023,7.053409796150049,4.0,-0.0042,0.002186890120356333,0.9026134577714182,0.5606062575432695,0.0018555545349820957,0.004710535816051298,,0.0012
2019-07-19,-0.0024,0.0001,-4.995560064135996e-05,-0.0005657753118037186,7.061078605423569,4.0,0.0036,-0.0024956933355875233,0.9027000479665115,0.5620088593079856,-0.003520675985838384,-0.005760281374031506,,-0.0024999999999999996
2019-07-22,0.0007,0.0001,-8.416126245541977e-05,6.617213561289234e-05,7.058234550793509,4.0,-0.0024,0.0006386840260719229,0.9027553625705635,0.561650142333836,0.0009156180318692364,0.002425126428708513,,0.0006
2019-07-23,0.0052,0.0001,-0.0007280735712709211,-0.0014003428065002524,7.058021154781423,4.0,0.0046999999999999,0.003829598254581512,0.9039877804298334,0.5595074535662334,0.007527257817991462,0.0055107799932947454,,0.0050999999999999995
2019-07-24,0.0043,0.0001,6.909355903704356e-06,0.0014105222517766514,7.049440769341577,4.0,0.0078,0.004669576694410926,0.9036552404351634,0.556906933926614,0.006204386608544832,0.0032081543085802355,,0.0042
2019-07-25,-0.0052,0.0001,-0.00018587683116217302,-0.0019306438613194191,7.058906437448097,4.0,-0.0053,-0.005799458876751151,0.9042001045073451,0.5601555329042769,-0.007563067090157971,-0.007461448569678453,,-0.0053
2019-07-26,0.0042,0.0001,-0.0006212923174375679,0.0003726976196343623,7.048508985923043,4.0,0.0003,0.003939462877146749,0.9044347577931487,0.5579574801243009,0.006062209600599333,0.004966938008650557,,0.0040999999999999995
2019-07-29,-0.0021,0.0001,-0.0001696052286705372,0.0008709615068540906,7.050613321698498,4.0,-0.0054,-0.0014517219247718316,0.9038475801505396,0.5587686568343025,-0.0031431800126643372,-0.0006680149819635606,,-0.0021999999999999997
2019-07-30,-0.0037,0.0001,-1.3649884452462214e-05,0.00019403604986676577,7.055421168961143,4.0,0.0055,-0.003244500567417541,0.9034345379750672,0.5605874832417677,-0.00539968667661006,-0.004812000958896556,,-0.0038
2019-07-31,-0.009,0.0001,0.00010539766748879231,0.001482206440184789,7.05679253218802,4.0,-0.0065,-0.007297170024898825,0.901884834110675,0.5647082553958552,-0.0131084391005315,-0.009267983556937809,,-0.009099999999999999
2019-08-01,-0.0040999999999999,0.0001,-0.0006926016470735728,0.007065457107808598,7.068979517878498,4.0,-0.0073,0.0002168404925420031,0.89799238517972,0.564585830326325,-0.006015387051878762,-0.008134440540230936,,-0.0041999999999999
2019-08-02,-0.0113,0.0001,0.0015803896009240043,0.0022772028658285693,7.107077846331662,4.0,-0.0132,-0.00870775860898898,0.8956441240590548,0.569545293256892,-0.01654730146945571,-0.008884689717040262,,-0.011399999999999999
2019-08-05,-0.0239,0.0001,0.0015102352514987883,0.006450296855681216,7.12187407239956,4.0,-0.0191,-0.017596358198319173,0.8898971790156769,0.5797467242816541,-0.03521388205310261,-0.0295132559529373,,-0.024
2019-08-06,0.0045,0.0001,-0.0002879380719261268,0.001268247930556516,7.158457116926154,4.0,-0.0025,0.004700665007606242,0.889719443267692,0.5770342794361194,0.006657037735106286,0.011368371630396057,,0.004399999999999999
2019-08-07,0.0016,0.0001,0.0010187365793358515,0.0017069270654775591,7.167681398539339,4.0,-0.0018,0.002513437467956292,0.88890877774933,0.5755875760563691,0.002340932041629884,0.0035130082340899538,,0.0015
2019-08-08,0.0157,0.0001,-0.0005547831296834923,-0.0015159007991403391,7.177791768706646,4.0,0.0105,0.013014209022987666,0.8912655296619896,0.5681929936713334,0.02324047437022103,0.014701703225052487,,0.0156
2019-08-09,-0.0058,0.0001,0.0004953242322034,-0.0007037372736038441,7.169688450798939,4.0,-0.0054,-0.0055226963041220545,0.891017005915429,0.5713483772426977,-0.008565889740281163,-0.006761315526511269,,-0.0059
2019-08-12,-0.0082,0.0001,-7.604988674332568e-05,0.005053828432142206,7.1654662895414445,4.0,-0.0055,-0.004449224454199041,0.8876600653366342,0.573901795143961,-0.012195064605748596,-0.011253456869794065,,-0.0083
2019-08-13,0.0058,0.0001,-0.0010590898165532341,-0.0023045582336670097,7.197943909603123,4.0,-0.0056,0.0036994355099593257,0.8895177800533172,0.5717865078327687,0.008560362071875272,0.01461324442144285,,0.005699999999999999
