Date,SHY,IEI,IEF,TLT
2023-03-29,72.25887298583984,104.68682098388672,86.86661529541016,90.40243530273438
2023-03-30,72.2676773071289,104.74940490722656,86.99899291992188,90.81841278076172
2023-03-31,72.35575103759766,105.19649505615234,87.4755630493164,92.17893981933594
2023-04-03,72.44400787353516,105.51358032226562,87.88764953613281,92.61246490478516
2023-04-04,72.6116943359375,106.06887817382812,88.45355224609375,93.07292175292969
2023-04-05,72.70880126953125,106.27490234375,88.82492065429688,94.04596710205078
2023-04-06,72.68230438232422,106.26594543457031,88.85148620605469,94.28922271728516
2023-04-10,72.42633056640625,105.54045104980469,87.97605895996094,92.76885223388672
2023-04-11,72.41751861572266,105.50460815429688,87.94068145751953,92.95996856689453
2023-04-12,72.49698638916016,105.81810760498047,88.19710540771484,92.86441802978516
2023-04-13,72.54108428955078,105.71061706542969,87.90531158447266,92.1346435546875
2023-04-14,72.37339782714844,105.27172088623047,87.47201538085938,91.29190826416016
2023-04-17,72.26747131347656,104.8507308959961,86.91492462158203,90.2059326171875
2023-04-18,72.24983215332031,104.91343688964844,87.0564193725586,90.52739715576172
2023-04-19,72.18806457519531,104.76118469238281,86.87071990966797,90.44049072265625
2023-04-20,72.36456298828125,105.21795654296875,87.37474822998047,91.21373748779297
2023-04-21,72.32044982910156,105.05675506591797,87.1624984741211,90.70114135742188
2023-04-24,72.39988708496094,105.37024688720703,87.58695983886719,91.57861328125
2023-04-25,72.68230438232422,106.21217346191406,88.45355224609375,92.92523193359375
2023-04-26,72.59404754638672,105.95244598388672,88.10868835449219,91.93482971191406
2023-04-27,72.45282745361328,105.40607452392578,87.5339126586914,91.02259063720703
2023-04-28,72.53227996826172,105.85391998291016,88.18827819824219,92.4908676147461
2023-05-01,72.37390899658203,105.1819076538086,87.15030670166016,89.82389068603516
2023-05-02,72.61276245117188,106.06120300292969,88.28486633300781,92.06229400634766
2023-05-03,72.7896957397461,106.64437866210938,88.86103820800781,92.57618713378906
2023-05-04,72.90470123291016,106.8058853149414,88.84332275390625,91.66167449951172
2023-05-05,72.72776794433594,106.3213882446289,88.36468505859375,91.3568344116211
2023-05-08,72.61276245117188,105.94454956054688,87.823974609375,90.07647705078125
2023-05-09,72.59507751464844,105.86382293701172,87.71760559082031,89.75423431396484
2023-05-10,72.77203369140625,106.4738998413086,88.37354278564453,90.62521362304688
2023-05-11,72.81623077392578,106.60848999023438,88.70150756835938,91.58331298828125
