Date,NTSG.L,ACWI,VT,URTH,NTSX,SPY
2009-06-09,,25.36593246459961,25.051410675048828,,,69.526123046875
2009-06-10,,25.330564498901367,24.97577476501465,,,69.34978485107422
2009-06-11,,25.65594482421875,25.35398292541504,,,69.65831756591797
2009-06-12,,25.620574951171875,25.28522300720215,,,69.8493423461914
2009-06-15,,24.807109832763672,24.515045166015625,,,68.24784088134766
2009-06-16,,24.488792419433594,24.18497085571289,,,67.32218170166016
2009-06-17,,24.389772415161133,24.081819534301758,,,67.25606536865234
2009-06-18,,24.453432083129883,24.136831283569336,,,67.74828338623047
2009-06-19,,24.58782958984375,24.20559310913086,,,67.99798583984375
2009-06-22,,23.852174758911133,23.462926864624023,,,65.95891571044922
2009-06-23,,23.9420108795166,23.71735954284668,,,66.0106201171875
2009-06-24,,24.056095123291016,23.937414169311523,,,66.5794906616211
2009-06-25,,24.690645217895508,24.446279525756836,,,68.02751922607422
2009-06-26,,24.612215042114258,24.46003532409668,,,67.85025024414062
2009-06-29,,24.790462493896484,24.659454345703125,,,68.48556518554688
2009-06-30,,24.590822219848633,24.246862411499023,,,67.9314956665039
2009-07-01,,24.925928115844727,24.680084228515625,,,68.21224212646484
2009-07-02,,24.170169830322266,23.9511661529541,,,66.35049438476562
2009-07-06,,24.14877700805664,23.916772842407227,,,66.34310150146484
2009-07-07,,23.6639461517334,23.435420989990234,,,65.0576171875
2009-07-08,,23.599782943725586,23.37353515625,,,65.01329040527344
2009-07-09,,23.80653953552246,23.579824447631836,,,65.13886260986328
2009-07-10,,23.606908798217773,23.469804763793945,,,64.98375701904297
2009-07-13,,24.006179809570312,23.923656463623047,,,66.56474304199219
2009-07-14,,24.198686599731445,24.081819534301758,,,66.94151306152344
2009-07-15,,25.0613956451416,24.907020568847656,,,68.89930725097656
2009-07-16,,25.26815414428711,25.023916244506836,,,68.78849029541016
