date,usd_per_eur,usd_per_gbp,usd_per_jpy
2020-06-08,1.1293,1.2694,0.009219988936013277
2020-06-09,1.1348,1.2736,0.009288500835965075
2020-06-10,1.1355,1.2758,0.009324009324009324
2020-06-11,1.1378,1.2635,0.009374707040404988
2020-06-12,1.1253,1.2527,0.009314456035767511
2020-06-15,1.127,1.2543,0.009317059536010435
2020-06-16,1.1259,1.2586,0.009315323707498836
2020-06-17,1.1219,1.2526,0.009323140033563304
2020-06-18,1.1216,1.243,0.009365049634763064
2020-06-19,1.1189,1.2362,0.009355412105903266
2020-06-22,1.126,1.2447,0.009359790340696368
2020-06-23,1.1322,1.2531,0.009394964299135663
2020-06-24,1.1272,1.2432,0.009360666479453337
2020-06-25,1.1221,1.2406,0.009327488107452663
2020-06-26,1.1215,1.2337,0.009329228472805299
2020-06-29,1.1237,1.2279,0.009284189026088572
2020-06-30,1.1237,1.2369,0.009279020135473694
2020-07-01,1.1259,1.2474,0.009302325581395349
2020-07-02,1.1237,1.2469,0.009298000929800094
2020-07-03,,,
2020-07-06,1.1307,1.2482,0.009302325581395349
2020-07-07,1.1299,1.2572,0.009299730307821073
2020-07-08,1.1329,1.2593,0.009311853990129435
2020-07-09,1.1298,1.2614,0.009322270905192505
2020-07-10,1.1318,1.2654,0.009365926758452749
2020-07-13,1.1364,1.2614,0.009326618168252192
2020-07-14,1.1406,1.2546,0.009328358208955223
2020-07-15,1.1406,1.2586,0.009352787130564907
2020-07-16,1.1433,1.2621,0.009341429238673517
2020-07-17,1.1438,1.255,0.009340556697179151
2020-07-20,1.1442,1.2658,0.009327488107452663
2020-07-21,1.1495,1.2736,0.009361542782250515
2020-07-22,1.1587,1.2729,0.009330098899048329
2020-07-23,1.1623,1.2759,0.009360666479453337
2020-07-24,1.1635,1.2791,0.009452689290103034
2020-07-27,1.175,1.2887,0.009497578117580016
2020-07-28,1.1733,1.295,0.009521089212605922
2020-07-29,1.177,1.2974,0.009518370454978107
2020-07-30,1.1791,1.3035,0.00951927653498334
2020-07-31,1.1822,1.3133,0.009453582907922102
2020-08-03,1.175,1.3053,0.009424182452172273
2020-08-04,1.1766,1.3059,0.009445546424860677
2020-08-05,1.1898,1.3141,0.009484066767830045
2020-08-06,1.1856,1.3147,0.009476876421531463
2020-08-07,1.1776,1.3043,0.00944108761329305
2020-08-10,1.1756,1.3082,0.00944733112895607
2020-08-11,1.1764,1.3077,0.009384384384384385
2020-08-12,1.1796,1.3047,0.009358914365933552
2020-08-13,1.1818,1.3082,0.009355412105903266
2020-08-14,1.1833,1.3108,0.009390553103577802
2020-08-17,1.1869,1.3105,0.009436633009342266
2020-08-18,1.1928,1.3228,0.00948676596148373
2020-08-19,1.1898,1.3191,0.009459842966606754
2020-08-20,1.1862,1.319,0.009450902561194593
2020-08-21,1.1775,1.3098,0.009444654325651681
2020-08-24,1.1803,1.3078,0.009442870632672332
2020-08-25,1.1818,1.3136,0.009398496240601503
2020-08-26,1.1813,1.3186,0.00942240648261566
2020-08-27,1.1824,1.3229,0.009396729937981583
2020-08-28,1.1901,1.3341,0.00949667616334283
2020-08-31,1.195,1.3375,0.00944822373393802
2020-09-01,1.1949,1.3416,0.009433962264150943
2020-09-02,1.184,1.3315,0.009420631182289214
2020-09-03,1.1832,1.3263,0.00942151874882231
2020-09-04,1.182,1.323,0.009403799134850479
2020-09-07,,,
2020-09-08,1.1789,1.3039,0.009436633009342266
2020-09-09,1.181,1.3011,0.009413536665725312
2020-09-10,1.188,1.2846,0.009417082587814296
2020-09-11,1.1831,1.2788,0.00941885655081473
2020-09-14,1.1874,1.2876,0.009462528387585161
2020-09-15,1.1846,1.2866,0.009478672985781991
2020-09-16,1.1835,1.298,0.00952925481227368
2020-09-17,1.1823,1.2955,0.009544716999140977
2020-09-18,1.1857,1.295,0.009574875526618154
2020-09-21,1.1737,1.2794,0.009552010698251982
2020-09-22,1.1703,1.2726,0.00951927653498334
2020-09-23,1.1677,1.275,0.009493070058857035
2020-09-24,1.1666,1.2739,0.00948586605957124
2020-09-25,1.1618,1.2706,0.00947059380623165
2020-09-28,1.166,1.2865,0.009478672985781991
2020-09-29,1.1717,1.2847,0.009462528387585161
2020-09-30,1.1723,1.2921,0.009471490812653912
