series,variant,from_id,to_id,from_frac,from_X,to_frac,to_X,dist_all,dist_risk,dist_return,diff_cagr,diff_ann_vol,diff_sharpe,diff_sortino,diff_max_dd,diff_calmar,diff_mdd_duration_days,diff_log_final_wealth,diff_worst_month
mkt,primary,half_x100,full_x0,half,100,full,0,2.2596315453506812,1.1697012560651192,2.682512948340528,0.11297193058722652,0.2439552234187784,0.3396038213733062,0.4910211888284835,0.0005447464607167829,0.11336852691612082,-11619.0,10.331906226656233,-0.11062046196850872
mkt,primary,half_x100,half_x0,half,100,half,0,1.9453476404123877,1.0336210322468564,2.3386780215785303,0.08214149197993423,0.015388983032050468,0.3396038213733062,0.4910211888284835,0.07963532644834292,0.0926575186294516,-14667.0,7.616702329778695,0.13487649825122916
mkt,primary,half_x100,quarter_x0,half,100,quarter,0,2.015968401251909,1.931907607675729,2.0222430371580797,0.0451890856409569,-0.09888766760785922,0.3396038213733062,0.4910211888284835,0.3165524525078288,0.08320616398085307,-15516.0,4.261941259631264,0.3000660065345564
mkt,primary,half_x100,full_x10,half,100,full,10,1.8315833463965216,1.1709560050368337,2.133619585796159,0.0850685520199542,0.23516945438449494,0.28643498648452614,0.40477838092992363,-0.0010820783032945425,0.0851740247640571,-11040.0,7.877681581113274,-0.16616843174240736
mkt,primary,half_x100,half_x10,half,100,half,10,1.6138490996996426,0.864737964907203,1.9436399880739657,0.0676423518660969,0.01099787420118395,0.28643498648452614,0.40477838092992363,0.05994201189091519,0.07448149338244887,-12721.0,6.3137894986957495,0.09624729163739776
mkt,primary,half_x100,quarter_x10,half,100,quarter,10,1.7217388359219215,1.7390584872264183,1.6883845609114978,0.03792660977743621,-0.10108131864083868,0.28643498648452614,0.40477838092992363,0.2744793272564243,0.06620892318073952,-14548.0,3.5891446631644643,0.27776834509284287
mkt,primary,half_x100,full_x25,half,100,full,25,1.3486159467709047,1.037155644280735,1.5337375101045714,0.054653169395887255,0.2284659723539288,0.22441913222892335,0.3116688616782545,-0.0024149116965273,0.054585762484109124,-7344.0,5.131945282803384,-0.16616843174240736
mkt,primary,half_x100,half_x25,half,100,half,25,1.2519165036414779,0.726631741474788,1.5052013667566173,0.051900807897775125,0.007648408737569473,0.22441913222892335,0.3116688616782545,0.030591185225135598,0.05483696075916866,-10869.0,4.87971009644804,0.09624729163739776
mkt,primary,half_x100,quarter_x25,half,100,quarter,25,1.3281735490319992,1.4257725253999805,1.3161364627236403,0.030064975327299612,-0.10275367518951165,0.22441913222892335,0.3116688616782545,0.2039258181978847,0.04719435495526167,-11508.0,2.855694527477205,0.27776834509284287
mkt,primary,half_x100,full_x100,half,100,full,100,1.0689523429910184,1.3896882794064211,0.7816832667941117,-0.04409828925121485,0.21315385915586166,0.0,0.0,-0.0027781080420591353,-0.04419882122973494,14764.0,-4.342199948777426,-0.27335869887361897
