series,X,scheme,regime,frac,level,f_used,f_base,f_stressed,cagr_median,cagr_mean,cagr_p1,cagr_p5,cagr_p25,cagr_p75,cagr_p95,ann_vol_median,mdd_median,mdd_p5,mdd_mean,tw_median,tw_p1,tw_p5,tw_p25,tw_p75,tw_p95,tw_mean,p_lose_money,p_below_tbills,p_dd_50,p_dd_90,p_ruin_99
mkt,50,iid,stressed,1.0,stressed_1.00,1.5647665966724562,2.6163616454101675,1.5647665966724562,0.06875952280181985,0.07018070682860632,-0.05547926489461489,-0.019534906408059688,0.03140825541445208,0.10725615031408925,0.16555792322528867,0.2595235705562434,-0.639987515589717,-0.8571283213391765,-0.6462535765454963,5.272297820684711,0.24004209801638568,0.6106655473195094,2.166531861093493,12.770342156730868,46.062401033085145,12.523509755488462,0.10215,0.2524,0.87885,0.019,0.0
mkt,50,iid,stressed,1.25,stressed_1.25,1.9559582458405702,2.6163616454101675,1.5647665966724562,0.06642881534002265,0.0687351955344091,-0.08629137617938491,-0.04278414138182452,0.020003352344245495,0.11475895599707264,0.18915461002368597,0.32440385553774065,-0.7479533453082051,-0.9314236318257963,-0.7454537844187059,4.992255276468106,0.10475942347330536,0.33515611130719286,1.6407408082343744,15.119041342782133,76.0252921702294,19.408886500317344,0.16325,0.31175,0.9844,0.1015,0.00015
mkt,50,iid,stressed,1.5,stressed_1.50,2.3471498950086844,2.6163616454101675,1.5647665966724562,0.05950713539610808,0.06270965358018632,-0.12101592089926397,-0.06975585478484556,0.004137486422673975,0.11753065954502578,0.20759413934295531,0.38928628430492807,-0.8306864834658837,-0.9698303192223293,-0.8201725072038173,4.242258689770147,0.03976723062809106,0.16403013182165396,1.1087394851563797,16.087411549236485,111.69274069052267,29.969013945169934,0.2332,0.37295,0.99925,0.26205,0.00175
mkt,50,iid,fixed,,fixed_1.0x,1.0,2.6163616454101675,1.5647665966724562,0.06376775832905657,0.0643077279368262,-0.016607629580541097,0.006988607285024495,0.0399638971004202,0.08789672438260582,0.12421147073355884,0.16585730882684935,-0.43626909636185573,-0.6479382837864069,-0.44957806378512505,4.689975560030296,0.6579166316217409,1.1901835085098142,2.6635237423038105,8.216592105982182,18.672407131795737,6.657570118193457,0.03145,0.18175,0.2916,5e-05,0.0
mkt,50,iid,fixed,,fixed_2.0x,2.0,2.6163616454101675,1.5647665966724562,0.06586231454569269,0.06828611610640395,-0.09009674398881728,-0.04562916066510286,0.01845893093783696,0.11533224258816949,0.19150366058376914,0.33170847314119234,-0.7582232651847993,-0.9371727715199856,-0.7549914702373438,4.926377437978712,0.0943801103701887,0.3111208000575875,1.5797487642776717,15.314627327175481,79.87015491272847,20.387525139196438,0.17035,0.31865,0.9881,0.11715,0.00025
mkt,50,block60,full,0.25,full_0.25,0.6540904113525419,2.6163616454101675,1.5647665966724562,0.05622294585158949,0.05558301570893926,-0.017735688206043633,0.005235576542665767,0.03582629360962014,0.07606150489083424,0.10409271029687651,0.10835640597474853,-0.41315018925337854,-0.6452807792575177,-0.42546570363183384,3.925454534033287,0.6393065853056095,1.1394526271746035,2.4108671346565265,6.250681637227895,11.888814857450704,4.875293165161201,0.0355,0.2123,0.2489,5e-05,0.0
mkt,50,block60,full,0.5,full_0.50,1.3081808227050837,2.6163616454101675,1.5647665966724562,0.06816607476270253,0.06778906356705557,-0.0776982521105034,-0.03363653913931166,0.02660092705724626,0.10912632863500588,0.16859090320518028,0.2167072788688249,-0.7027912686859952,-0.9170601090215436,-0.6998913434632834,5.199594966880173,0.13238104668751707,0.4251209547111065,1.9277082385281796,13.320648963840297,49.15441504601311,12.904605898337287,0.1342,0.27875,0.9176,0.07055,0.00015
mkt,50,block60,full,0.75,full_0.75,1.9622712340576256,2.6163616454101675,1.5647665966724562,0.06717935875746917,0.06799097765916408,-0.14825211061182966,-0.08420574426007259,0.004337542335887845,0.1304728364270477,0.2242303844588124,0.3250605031334734,-0.866183539777456,-0.9852949747469428,-0.8459854332897143,5.080838800720323,0.018104088405356118,0.11090417858876964,1.1142750989182078,21.453753459545997,157.24573290653558,40.61325958989885,0.23425,0.35325,0.99525,0.3814,0.0055
mkt,50,block60,full,1.0,full_1.00,2.6163616454101675,2.6163616454101675,1.5647665966724562,0.053097290081552506,0.05595912793491229,-0.22524332595728727,-0.14554045248300623,-0.0305739740562328,0.1388432752070512,0.2694050424135347,0.4334165958437637,-0.9471372586879147,-0.9980490261636658,-0.9217304469819668,3.6451246182611987,0.0016948574141558252,0.019601426404461355,0.46011551442251075,25.798772711037863,389.0500552893221,150.68209824717297,0.336,0.4325,0.9999,0.70545,0.034
mkt,50,block60,full,1.25,full_1.25,3.2704520567627093,2.6163616454101675,1.5647665966724562,0.025955467369689122,0.031791566033240556,-0.3075769902653897,-0.21572500337923772,-0.07751974050329577,0.13373755178780106,0.3024802579861401,0.5417746511747563,-0.9821884586093708,-0.9998175844470422,-0.960569090021165,1.8976353192194773,0.00010216152440361739,0.0022999016662098113,0.13302309115103136,23.057565679115307,740.0801108511826,630.2771033061651,0.4333,0.51565,1.0,0.8816,0.0954
