series,X,financing,f,f_kelly_analytic,cagr_median,cagr_p5,cagr_p25,mean_log_growth,mdd_median,p_dd_50,p_dd_90,p_loss,tw_median
mkt,0,broker,3.4,2.11812782023486,0.09650137406749115,-0.1238669657290233,0.0034846872163105114,0.08960842537352626,-0.9508677825741227,1.0,0.7512,0.2422,10.005289081818496
mkt,0,broker,3.5,2.11812782023486,0.09190440583748238,-0.13342349940939605,-0.003595225475636815,0.08521566015264673,-0.9573751001124771,1.0,0.7802,0.2586,9.00773205969314
mkt,0,broker,3.6,2.11812782023486,0.08675853319737814,-0.14340614149045297,-0.011260409640853952,0.08048042699890798,-0.9630096199727773,1.0,0.8078,0.2722,8.004362787458028
mkt,0,broker,3.7,2.11812782023486,0.08119536259154037,-0.1547586377154185,-0.01906181723073877,0.0753921606354302,-0.9681061830657107,1.0,0.839,0.2878,7.040513889977847
mkt,0,broker,3.8,2.11812782023486,0.0755660807538846,-0.16639843375636185,-0.02742556497573323,0.06995647503184876,-0.9726534552857813,1.0,0.8634,0.3048,6.179132240731919
mkt,0,broker,3.9,2.11812782023486,0.0697304248633045,-0.17677914536854994,-0.03538072313911844,0.06416269769937383,-0.9768093428622859,1.0,0.8858,0.3236,5.3933512141875095
mkt,0,broker,4.0,2.11812782023486,0.06361388322442274,-0.18730790761754204,-0.043800888896130485,0.05801057780972609,-0.9802104761457662,1.0,0.9074,0.3446,4.6730483063965575
mkt,0,letf,0.1,2.1718019031758886,0.030760847259335033,0.024004775232654308,0.028038701696145862,0.030268110564953564,-0.03821030231632366,0.0,0.0,0.0,2.1327887705093316
mkt,0,letf,0.2,2.1718019031758886,0.03864106420951796,0.02591572041914374,0.03357540275733445,0.03792131784060249,-0.08463984649791612,0.0,0.0,0.0,2.5801040877187953
mkt,0,letf,0.3,2.1718019031758886,0.04638628959601587,0.027284110004413577,0.03875916852788036,0.04526973083158669,-0.13408039332460514,0.0,0.0,0.0,3.1067121816570937
mkt,0,letf,0.4,2.1718019031758886,0.053812914284726676,0.028151318027875284,0.04366078275225671,0.052312403178925264,-0.1837881586877299,0.0,0.0,0.0006,3.707557775895482
