date,series,nav_full_x0,dd_full_x0,nav_half_x0,dd_half_x0,nav_quarter_x0,dd_quarter_x0,nav_full_x10,dd_full_x10,nav_half_x10,dd_half_x10,nav_quarter_x10,dd_quarter_x10,nav_full_x25,dd_full_x25,nav_half_x25,dd_half_x25,nav_quarter_x25,dd_quarter_x25,nav_full_x100,dd_full_x100,nav_half_x100,dd_half_x100,nav_quarter_x100,dd_quarter_x100,wf_f_x0,wf_f_x10,wf_f_x25,wf_f_x100
1978-11-30,scv,24684.4,-0.521101,3834.14,-0.296607,214.996,-0.153756,1012.59,-0.521101,665.597,-0.296607,85.4374,-0.153756,189.708,-0.521101,275.752,-0.296607,54.3286,-0.153756,0.134269,-0.980758,6.32694,-0.296607,7.90356,-0.153756,2.56341,2.19314,1.9714,0.886326
1978-12-31,scv,25603.5,-0.481933,3925.26,-0.264395,218.472,-0.13078,1050.29,-0.481933,681.415,-0.264395,86.8189,-0.13078,196.771,-0.481933,282.305,-0.264395,55.2071,-0.13078,0.139268,-0.979184,6.4773,-0.264395,8.03136,-0.13078,2.57443,2.20535,1.98425,0.902345
1979-01-31,scv,32495.1,-0.439541,4441.33,-0.233308,233.22,-0.110979,1333,-0.439541,771.003,-0.233308,92.6795,-0.110979,249.735,-0.439541,319.42,-0.233308,58.9338,-0.110979,0.176754,-0.977481,7.32889,-0.233308,8.5735,-0.110979,2.57756,2.20889,1.98801,0.907131
1979-02-28,scv,30281.6,-0.353081,4307.4,-0.171795,230.6,-0.0718591,1242.19,-0.353081,747.754,-0.171795,91.6382,-0.0718591,232.723,-0.353081,309.788,-0.171795,58.2717,-0.0718591,0.164714,-0.974007,7.10789,-0.171795,8.47718,-0.0718591,2.60692,2.24038,2.02049,0.944201
1979-03-31,scv,37395.3,-0.340684,4809.9,-0.160899,244.781,-0.0628328,1534.01,-0.340684,834.987,-0.160899,97.2738,-0.0628328,287.394,-0.340684,345.928,-0.160899,61.8552,-0.0628328,0.203408,-0.973509,7.93709,-0.160899,8.99851,-0.0628328,2.59648,2.22934,2.00925,0.931942
1979-04-30,scv,40334.1,-0.206536,5016.92,-0.075029,251.015,-0.0116031,1654.56,-0.206536,870.925,-0.075029,99.7511,-0.0116031,309.98,-0.206536,360.817,-0.075029,63.4305,-0.0116031,0.219393,-0.968119,8.27871,-0.075029,9.22768,-0.0116031,2.62226,2.25694,2.03763,0.964135
1979-05-31,scv,39120.1,-0.218636,4967.38,-0.0758611,250.933,-0.023824,1604.76,-0.218636,862.325,-0.0758611,99.7184,-0.023824,300.65,-0.218636,357.254,-0.0758611,63.4098,-0.023824,0.21279,-0.968605,8.19696,-0.0758611,9.22466,-0.023824,2.63083,2.26609,2.04706,0.974893
1979-06-30,scv,45356.6,-0.157809,5374.15,-0.0378038,262.14,-0.0066964,1860.59,-0.157809,932.94,-0.0378038,104.172,-0.0066964,348.58,-0.157809,386.509,-0.0378038,66.2416,-0.0066964,0.246713,-0.966161,8.8682,-0.0378038,9.63663,-0.0066964,2.62534,2.26034,2.04128,0.968846
1979-07-31,scv,48723.5,-0.0490136,5596.04,-0.0233179,268.653,-0.0103106,1998.71,-0.0490136,971.458,-0.0233179,106.76,-0.0103106,374.456,-0.0490136,402.467,-0.0233179,67.8874,-0.0103106,0.265027,-0.961723,9.23434,-0.0233179,9.87605,-0.0103106,2.64297,2.27926,2.06075,0.991015
1979-08-31,scv,58535.9,-0.00470417,6156.87,-0.00220208,282.79,-0.000951042,2401.23,-0.00470417,1068.82,-0.00220208,112.378,-0.000951042,449.867,-0.00470417,442.802,-0.00220208,71.4599,-0.000951042,0.318401,-0.957496,10.1598,-0.00220208,10.3958,-0.000951042,2.65084,2.2877,2.06951,1.00109
